path	database	primer pair	description
data/gtdb_r89/515f-806r/plant-surface.qza	gtdb_r89	515f-806r	plant-surface.qza
data/gtdb_r89/515f-806r/soil-non-saline.qza	gtdb_r89	515f-806r	soil-non-saline.qza
data/gtdb_r89/515f-806r/sediment-non-saline.qza	gtdb_r89	515f-806r	sediment-non-saline.qza
data/gtdb_r89/515f-806r/human-stool.qza	gtdb_r89	515f-806r	human-stool.qza
data/gtdb_r89/515f-806r/water-saline.qza	gtdb_r89	515f-806r	water-saline.qza
data/gtdb_r89/515f-806r/animal-secretion.qza	gtdb_r89	515f-806r	animal-secretion.qza
data/gtdb_r89/515f-806r/animal-corpus.qza	gtdb_r89	515f-806r	animal-corpus.qza
data/gtdb_r89/515f-806r/human-oral.qza	gtdb_r89	515f-806r	human-oral.qza
data/gtdb_r89/515f-806r/water-non-saline.qza	gtdb_r89	515f-806r	water-non-saline.qza
data/gtdb_r89/515f-806r/animal-surface.qza	gtdb_r89	515f-806r	animal-surface.qza
data/gtdb_r89/515f-806r/animal-proximal-gut.qza	gtdb_r89	515f-806r	animal-proximal-gut.qza
data/gtdb_r89/515f-806r/surface-saline.qza	gtdb_r89	515f-806r	surface-saline.qza
data/gtdb_r89/515f-806r/animal-distal-gut.qza	gtdb_r89	515f-806r	animal-distal-gut.qza
data/gtdb_r89/515f-806r/sediment-saline.qza	gtdb_r89	515f-806r	sediment-saline.qza
data/gtdb_r89/515f-806r/plant-rhizosphere.qza	gtdb_r89	515f-806r	plant-rhizosphere.qza
data/gtdb_r89/515f-806r/plant-corpus.qza	gtdb_r89	515f-806r	plant-corpus.qza
data/gtdb_r89/full_length/plant-surface.qza	gtdb_r89	full_length	plant-surface.qza
data/gtdb_r89/full_length/soil-non-saline.qza	gtdb_r89	full_length	soil-non-saline.qza
data/gtdb_r89/full_length/sediment-non-saline.qza	gtdb_r89	full_length	sediment-non-saline.qza
data/gtdb_r89/full_length/human-stool.qza	gtdb_r89	full_length	human-stool.qza
data/gtdb_r89/full_length/water-saline.qza	gtdb_r89	full_length	water-saline.qza
data/gtdb_r89/full_length/animal-secretion.qza	gtdb_r89	full_length	animal-secretion.qza
data/gtdb_r89/full_length/animal-corpus.qza	gtdb_r89	full_length	animal-corpus.qza
data/gtdb_r89/full_length/human-oral.qza	gtdb_r89	full_length	human-oral.qza
data/gtdb_r89/full_length/water-non-saline.qza	gtdb_r89	full_length	water-non-saline.qza
data/gtdb_r89/full_length/animal-surface.qza	gtdb_r89	full_length	animal-surface.qza
data/gtdb_r89/full_length/human-vaginal.qza	gtdb_r89	full_length	human-vaginal.qza
data/gtdb_r89/full_length/animal-proximal-gut.qza	gtdb_r89	full_length	animal-proximal-gut.qza
